ID,Time_real,Time_pred_class,Time_real_class,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken_min,Peak_flag,region,region_city,avg_time_by_region_city,distance_km,long_distance,vehicle_condition_binary,prep_time,Restaurant_name_real,Restaurant_lat_real,Restaurant_lon_real,Delivery_lat_real,Delivery_lon_real
0x9d32 ,44.0,3.0,4.0,0.0,0.00010283925776883523,0.000373351218421641,0.008447856873614849,0.38381589675556405,0.24641338351080216,0.3597741767270556,0.001072495656772398,0.0,CHENRES17DEL02 ,33,4.9,2022-03-08,2022-03-08 18:50:00,2022-03-08 19:00:00,Fog,Medium ,Meal ,motorcycle ,1.0,No ,Urban ,44.0,1,chennai,chennai_Urban ,23.075757575757574,20.178267239099558,1,1,10.0,The Marina,13.0671996,80.2522907,13.059641222899492,80.0664022123803
0x50af ,22.0,2.0,2.0,0.03988093548522232,0.2855080369634054,0.3389280617946911,0.33398752881934946,0.0012546229194173421,0.00044081401791485817,0.0,0.0,0.0,VADRES03DEL02 ,27,4.5,2022-03-04,2022-03-04 21:40:00,2022-03-04 21:50:00,Windy,Jam ,Drinks ,motorcycle ,1.0,No ,Metropolitian ,22.0,1,vadodara,vadodara_Metropolitian ,27.81117021276596,12.11655916281721,1,1,10.0,The Brewery.,22.3250471,73.1716354,22.433885064138018,73.15952676767581
0x113f ,28.0,2.5,2.5,0.001885897956300279,0.0050233516573728355,0.30753589955584976,0.4301107865444628,0.2553946629734283,4.9401312586184533e-05,0.0,0.0,0.0,INDORES16DEL03 ,22,4.9,2022-03-07,2022-03-07 19:35:00,2022-03-07 19:50:00,Cloudy,Jam ,Drinks ,motorcycle ,1.0,No ,Metropolitian ,28.0,1,indore,indore_Metropolitian ,27.04366812227074,9.07484893630857,0,1,15.0,Skyhouse Cocktail Garden,22.7518422,75.89687649999999,22.67485726289468,75.92714745797531
0x7f0d ,13.0,1.5,1.0,0.41865435453480576,0.4663482227705994,0.07823025107292629,0.03649294697843672,0.00012373806929092367,0.0,1.4880952380952381e-05,0.00012072466917801605,1.4880952380952381e-05,BANGRES01DEL03 ,26,4.8,2022-03-03,2022-03-03 21:10:00,2022-03-03 21:20:00,Sunny,Jam ,Meal ,scooter ,0.0,No ,Metropolitian ,13.0,1,bengaluru,bengaluru_Metropolitian ,27.103890362511052,4.658009428704457,0,1,10.0,Central Tiffin Room,12.9980282,77.5695557,12.99579693859232,77.52667956805689
0x692b ,18.0,1.5,1.5,0.3057846202546533,0.6926447185105031,0.0013620967937022232,0.0002085644411413441,0.0,0.0,0.0,0.0,0.0,MYSRES04DEL02 ,22,4.8,2022-03-13,2022-03-13 10:00:00,2022-03-13 10:10:00,Stormy,Low ,Buffet ,scooter ,1.0,No ,Metropolitian ,18.0,0,mysuru,mysuru_Metropolitian ,27.17863720073665,3.109073410946993,0,1,10.0,Empire Restaurant,12.3239429,76.6278007,12.295927946016326,76.62551863007602
0x9573 ,40.0,3.5,4.0,0.0,0.0,0.0,0.0,0.3379576745429191,0.3495541174065531,0.31110840784708,0.001379800203447031,0.0,CHENRES09DEL02 ,26,4.1,2022-03-27,2022-03-27 20:15:00,2022-03-27 20:20:00,Fog,Jam ,Meal ,scooter ,1.0,No ,Metropolitian ,40.0,1,chennai,chennai_Metropolitian ,27.45638766519824,12.418029175076608,1,1,5.0,The Marina,13.0671996,80.2522907,13.135044651852033,80.16106148909971
0x5176 ,11.0,2.0,1.0,0.1382632905483405,0.2740720977984866,0.29872217530509904,0.28890219489938324,4.024144869215292e-05,0.0,0.0,0.0,0.0,JAPRES09DEL01 ,21,4.6,2022-04-01,2022-04-01 16:15:00,2022-04-01 16:30:00,Sandstorms,Medium ,Drinks ,motorcycle ,0.0,No ,Metropolitian ,11.0,0,jaipur,jaipur_Metropolitian ,27.549778315195486,5.958820916622007,0,0,15.0,Sura - Cocktails & Cuisine,26.9162084,75.7958993,26.88427877310237,75.7476328697494
0x6461 ,10.0,1.0,1.0,0.3990595580763612,0.3776552043319165,0.11108693162491728,0.11219830596680469,0.0,0.0,0.0,0.0,0.0,MYSRES07DEL01 ,23,4.9,2022-03-17,2022-03-17 16:00:00,2022-03-17 16:05:00,Windy,Medium ,Drinks ,motorcycle ,0.0,No ,Urban ,10.0,0,mysuru,mysuru_Urban ,21.95176848874598,6.217834398578936,0,0,5.0,The Old House,12.2995764,76.6424693,12.292092976481662,76.58581974723371
0xd5d6 ,17.0,2.5,1.5,0.17769004101373037,0.26671993239563246,0.2511811357368769,0.303527850291059,0.0007056307602258611,0.00017540980247520693,0.0,0.0,0.0,KOLRES05DEL03 ,28,4.5,2022-02-13,2022-02-13 21:35:00,2022-02-13 21:40:00,Windy,Jam ,Buffet ,motorcycle ,1.0,No ,Metropolitian ,17.0,1,kolkata,kolkata_Metropolitian ,27.335952848722986,4.5409498250826665,0,1,5.0,Grand Market Pavilion,22.545486,88.3974659,22.583139857608934,88.37998138951569
0x8546 ,18.0,1.0,1.5,0.5568040394425657,0.4263292307693068,0.011033647714810689,0.005810970116680943,2.2111956636016617e-05,0.0,0.0,0.0,0.0,COIMBRES06DEL01 ,34,5.0,2022-04-05,2022-04-05 09:25:00,2022-04-05 09:35:00,Sunny,Low ,Meal ,scooter ,0.0,No ,Urban ,18.0,0,coimbatore,coimbatore_Urban ,22.834355828220858,1.5580865162468949,0,1,10.0,Valarmathi Mess,11.0018364,76.9759344,11.007166374260468,76.98913128213395
